main,ar,
main,hy,
main,as,
main,bn,
main,eu,
main,be,
main,bg,
main,ca,
main,hr,
main,cs,
main,da,
main,nl,
main,en_AU,
main,en_GB,
main,en_US,
emoji,en,
main,eo,
main,fi,
emoji,fr,
main,fr,
main,gl,
main,ka,
main,de,
main,gom,
main,el,
main,gu,
main,he,
main,iw,
main,hi,
main,hi_ZZ,
main,hu,
main,it,
main,kn,
main,ks,
main,km,
main,la,
main,lv,
main,lt,
main,lb,
main,mai,
main,ml,
main,mr,
main,nb,
main,or,
main,pl,
main,pt_BR,
main,pt_PT,
main,pa,
main,ro,
emoji,ru,
main,ru,
main,sa,
main,sat,
main,sr_ZZ,
main,sr,
main,sd,
main,sl,
main,es,
main,zgh_ZZ,
main,zgh,
main,sv,
main,ta,
main,te,
main,tok,
main,tcy,
main,tr,
emoji,uk,
main,uk,
main,ur,
main,af,exp
main,ar,exp
main,bn_BD,exp
main,bn,exp
main,bg,exp
main,ca,exp
main,hr,exp
main,cs,exp
main,da,exp
main,nl,exp
main,en_GB,exp
main,en_US,exp
symbols,en,exp
main,eo,exp
main,et,exp
main,fi,exp
symbols,fr,exp
main,fr,exp
main,gl,exp
main,de_AT,exp
main,de,exp
main,he,exp
main,hu,exp
main,is,exp
main,id,exp
main,it,exp
main,kab,exp
main,kk,exp
main,lv,exp
main,lt,exp
addon,ml_ZZ,exp
main,ne,exp
main,nb,exp
main,pms,exp
main,pl,exp
main,pt_PT,exp
main,ro,exp
main,ru,exp
main,sk,exp
main,sl,exp
main,es,exp
main,sv,exp
main,tr,exp
main,uk,exp
main,vi,exp
